GlyphID,Phoneme,Allophones
0062,b,b b̥
0064,d,d d̥ ɾ dɪ̯
0064+0320+0292,d̠ʒ,d̠ʒ
0066,f,f
0068,h,h
006A,j,j
006B+02B0,kʰ,kʰ k
006C,l,l ɫ lɪ̯
006D,m,m
006E,n,n ɾ nɪ̯
0070+02B0,pʰ,pʰ p
0073,s,s
0074+02B0,tʰ,tʰ t ɾ tʰɪ̯
0074+0320+0283,t̠ʃ,t̠ʃ
0076,v,v
0077,w,w
007A,z,z
00F0,ð,ð
014B,ŋ,ŋ
0261,ɡ,ɡ ɡ̥̊
0279,ɹ,ɹ
0283,ʃ,ʃ
0292,ʒ,ʒ
03B8,θ,θ
0061+026A,aɪ,aɪ
0061+028A,aʊ,aʊ
0065+0069,ei,ei e
0069,i,i
006F+028A,oʊ,oʊ o
0075,u,u
00E6,æ,æ
0251,ɑ,ɑ
0254,ɔ,ɔ
0254+026A,ɔɪ,ɔɪ
025A,ɚ,ɚ
025B,ɛ,ɛ
026A,ɪ,ɪ
028A,ʊ,ʊ
028C,ʌ,ʌ
